case,time,treatment,outcome,,,,,
Alex,1,baseline,0,,,,,
Alex,2,baseline,5,,,,,
Alex,3,baseline,1,,,,,
Alex,4,baseline,2,,List of 14,,,
Alex,5,baseline,3,, $ p_beta   : num 8.21,,,
Alex,6,baseline,0,, $ r_theta  : num 4.37,,,
Alex,7,treatment,12,, $ delta_AB : num 3.93,,,
Alex,8,treatment,12,," $ nu       : num [1, 1] 27.8",,,
Alex,9,treatment,9,," $ kappa    : num [1, 1] 0.223",,,Standard Error
Alex,10,treatment,15,," $ g_AB     : num [1, 1] 3.82",,,Effect Size
Alex,11,treatment,12,," $ V_g_AB   : num [1, 1] 0.338",,,
Alex,12,treatment,13,, $ cnvg_warn: logi FALSE,,,
Alex,13,treatment,13,, $ sigma_sq : num 3.61,,,
Alex,14,treatment,10,, $ phi      : num -0.213,,,
Beth,1,baseline,0,, $ Tau      : Named num 0.763,,,
Beth,2,baseline,4,,"  ..- attr(*, ""names"")= chr ""case.var((Intercept))""",,,
Beth,3,baseline,1,," $ I_E_inv  : num [1:3, 1:3] 0.5771 -0.0231 -0.0168 -0.0231 0.0223 ...",,,
Beth,4,baseline,1,, $ p_const  : num [1:2] 0 1,,,
Beth,5,baseline,6,, $ r_const  : num [1:3] 1 0 1,,,
Beth,6,baseline,0,," - attr(*, ""class"")= chr ""g_REML""",,,
Beth,7,baseline,3,,,,,
Beth,8,baseline,0,,,,,
Beth,9,baseline,5,,Confidence Interval ,,2.806552 - 5.040419,
Beth,10,baseline,0,,,,,
Beth,11,baseline,3,,,,,
Beth,12,treatment,11,,,,,
Beth,13,treatment,13,,,,,
Beth,14,treatment,11,,,,,
Beth,15,treatment,7,,,,,
Beth,16,treatment,10,,,,,
Beth,17,treatment,9,,,,,
Beth,18,treatment,7,,,,,
Chad,1,baseline,3,,,,,
Chad,2,baseline,1,,,,,
Chad,3,baseline,2,,,,,
Chad,4,baseline,3,,,,,
Chad,5,baseline,0,,,,,
Chad,6,baseline,0,,,,,
Chad,7,baseline,0,,,,,
Chad,8,baseline,3,,,,,
Chad,9,baseline,3,,,,,
Chad,10,baseline,1,,,,,
Chad,11,baseline,0,,,,,
Chad,12,baseline,3,,,,,
Chad,13,baseline,0,,,,,
Chad,14,baseline,1,,,,,
Chad,15,treatment,10,,,,,
Chad,16,treatment,7,,,,,
Chad,17,treatment,10,,,,,
Chad,18,treatment,7,,,,,
Chad,19,treatment,8,,,,,
